File Name,Label
common_voice_ta_31833527.wav,Tamil
common_voice_en_38025497.wav,English
common_voice_ta_31833176.wav,Tamil
common_voice_fr_34952338.wav,French
common_voice_en_38025197.wav,English
common_voice_ta_31833187.wav,Tamil
common_voice_fr_34930594.wav,French
common_voice_en_38024752.wav,English
common_voice_fr_34950791.wav,French
common_voice_fr_34941993.wav,French
common_voice_pt_36533876.wav,Portuguese
common_voice_fr_34936723.wav,French
common_voice_ta_31838508.wav,Tamil
common_voice_ta_31833533.wav,Tamil
common_voice_en_38025118.wav,English
common_voice_en_38024664.wav,English
common_voice_en_38025217.wav,English
common_voice_fr_34938901.wav,French
common_voice_en_38025711.wav,English
common_voice_pt_36534918.wav,Portuguese
common_voice_ta_31842363.wav,Tamil
common_voice_pt_36535114.wav,Portuguese
common_voice_de_36533248.wav,German
common_voice_ta_31838036.wav,Tamil
common_voice_pt_36533955.wav,Portuguese
common_voice_pt_36533882.wav,Portuguese
common_voice_fr_34936628.wav,French
common_voice_pt_36534318.wav,Portuguese
common_voice_pt_36535370.wav,Portuguese
common_voice_pt_36533929.wav,Portuguese
common_voice_pt_36534257.wav,Portuguese
common_voice_ta_31842402.wav,Tamil
common_voice_pt_36534241.wav,Portuguese
common_voice_ta_31833217.wav,Tamil
common_voice_pt_36533912.wav,Portuguese
common_voice_ta_31833362.wav,Tamil
common_voice_en_38024773.wav,English
common_voice_en_38025264.wav,English
common_voice_ta_31833428.wav,Tamil
common_voice_fr_34936700.wav,French
common_voice_de_36533266.wav,German
common_voice_de_36533374.wav,German
common_voice_ta_31833408.wav,Tamil
common_voice_ta_31833490.wav,Tamil
common_voice_pt_36534724.wav,Portuguese
common_voice_fr_34930361.wav,French
common_voice_fr_34933097.wav,French
common_voice_en_38025483.wav,English
common_voice_fr_34930240.wav,French
common_voice_fr_34933099.wav,French
common_voice_ta_31833478.wav,Tamil
common_voice_ta_31833461.wav,Tamil
common_voice_fr_34933040.wav,French
common_voice_en_38025487.wav,English
common_voice_ta_31833383.wav,Tamil
common_voice_en_38024779.wav,English
common_voice_ta_31833455.wav,Tamil
common_voice_fr_34936606.wav,French
common_voice_de_36532477.wav,German
common_voice_de_36533324.wav,German
common_voice_en_38024628.wav,English
common_voice_de_36531863.wav,German
common_voice_de_36531846.wav,German
common_voice_fr_34936603.wav,French
common_voice_fr_34930276.wav,French
common_voice_de_36534047.wav,German
common_voice_en_38025707.wav,English
common_voice_fr_34936684.wav,French
common_voice_ta_31833116.wav,Tamil
common_voice_ta_31842362.wav,Tamil
common_voice_fr_34933038.wav,French
common_voice_de_36531883.wav,German
common_voice_de_36533278.wav,German
common_voice_fr_34933061.wav,French
common_voice_pt_36535368.wav,Portuguese
common_voice_pt_36534900.wav,Portuguese
common_voice_ta_31833351.wav,Tamil
common_voice_de_36533339.wav,German
common_voice_en_38025443.wav,English
common_voice_fr_34929484.wav,French
common_voice_ta_31833452.wav,Tamil
common_voice_de_36533311.wav,German
common_voice_de_36532040.wav,German
common_voice_pt_36534732.wav,Portuguese
common_voice_ta_31833219.wav,Tamil
common_voice_pt_36533892.wav,Portuguese
common_voice_pt_36535382.wav,Portuguese
common_voice_fr_34932971.wav,French
common_voice_en_38024764.wav,English
common_voice_ta_31842182.wav,Tamil
common_voice_de_36533356.wav,German
common_voice_ta_31842320.wav,Tamil
common_voice_fr_34951242.wav,French
common_voice_pt_36533954.wav,Portuguese
common_voice_en_38024760.wav,English
common_voice_de_36531843.wav,German
common_voice_de_36532476.wav,German
common_voice_en_38025667.wav,English
common_voice_en_38024677.wav,English
common_voice_ta_31833227.wav,Tamil
common_voice_en_38025407.wav,English
common_voice_en_38024644.wav,English
common_voice_ta_31833475.wav,Tamil
common_voice_pt_36535365.wav,Portuguese
common_voice_fr_34932999.wav,French
common_voice_fr_34936642.wav,French
common_voice_en_38025469.wav,English
common_voice_ta_31833439.wav,Tamil
common_voice_en_38025113.wav,English
